DATE,M2SL
2017-12-01,13860.3
2018-01-01,13869.2
2018-02-01,13907.3
2018-03-01,13966.4
2018-04-01,13989.3
2018-05-01,14055.7
2018-06-01,14117.5
2018-07-01,14157.0
2018-08-01,14206.0
2018-09-01,14238.2
2018-10-01,14248.1
2018-11-01,14258.7
2018-12-01,14369.9
2019-01-01,14432.7
2019-02-01,14470.5
2019-03-01,14513.9
2019-04-01,14548.1
2019-05-01,14660.8
2019-06-01,14782.9
2019-07-01,14865.4
2019-08-01,14947.6
2019-09-01,15039.5
2019-10-01,15174.6
2019-11-01,15273.3
2019-12-01,15334.3
2020-01-01,15401.3
2020-02-01,15453.8
2020-03-01,15980.6
2020-04-01,16999.0
2020-05-01,17868.4
2020-06-01,18161.5
2020-07-01,18311.4
2020-08-01,18382.2
2020-09-01,18606.8
2020-10-01,18758.1
2020-11-01,18972.9
2020-12-01,19109.9
2021-01-01,19334.6
2021-02-01,19570.8
2021-03-01,19809.6
2021-04-01,20135.3
2021-05-01,20439.5
2021-06-01,20482.4
2021-07-01,20633.4
2021-08-01,20844.4
2021-09-01,20973.8
2021-10-01,21153.7
2021-11-01,21327.6
2021-12-01,21507.8
2022-01-01,21566.1
2022-02-01,21621.0
2022-03-01,21722.8
2022-04-01,21723.2
2022-05-01,21696.6
2022-06-01,21652.4
2022-07-01,21644.5
2022-08-01,21626.7
2022-09-01,21507.7
2022-10-01,21433.4
2022-11-01,21367.1
2022-12-01,21273.2
2023-01-01,21188.1
2023-02-01,21117.6
2023-03-01,20870.5
2023-04-01,20711.9
2023-05-01,20804.6
2023-06-01,20788.4
2023-07-01,20762.6
2023-08-01,20735.1
2023-09-01,20681.4
2023-10-01,20662.5
2023-11-01,20675.8
2023-12-01,20725.5
2024-01-01,20726.0
2024-02-01,20762.0
2024-03-01,20863.0
2024-04-01,20881.2
2024-05-01,20959.5
2024-06-01,21020.1
2024-07-01,21039.4
2024-08-01,21141.3
2024-09-01,21222.7
2024-10-01,21311.2
